Panel,Title,Chart,plotter,Description,Used for selection,Responds to selected
Team Card,Team Volin/Volout/Backlog History,tsline/tsbar/tsarea,,"Shows history of count of live tasks per team (time series aggregated: hourly, daily, weekly, monthly): helps to find bottlenecks and evaluate team backlogs",,
Process Overview,process.sunburst,Sunburst,sunburstR/d2b,,,
Activity Card,Activity loop rate,Gauge,,"For each activity, ratio(percentage) of entries that follow itself, over total entry-frequency ",,
Loop Overview,loop distribution,Table/bar?,,How many loops have been observed? (Shows all the loops with associated case frequencies),,
Team Card,Team Idle/Process/Waiting Time per activity/agent,Heatmap/bar,,,,
Agent Overview,Agent Volume-out distribution per activity,stack bar,,,,
Task Card,processing time variability,Box,,,,Tasks
Team Overview,Team Work Handover map,Graph,diagramer,,,
Team Overview,Team Adjacency Matrix (Team work handover matrix),,,,,
Team Overview,Team Processing Time Variability,,,,,
Team Overview,Team Idle time,,,,,
Team Overview,Team vol-out distribution per activity,,,,,
Team Overview,Team Processing Time per activity,,,,,
Team Card,Team Processing Time per activity,Heatmap/bar,,,,
Team Card,Team Volume-in History,tsline/tsbar/tsarea,,,,
Team Card,Team Volume-out distributed by agent,Pie,,,Team,Date
Team Card,Team Volume-out History,tsline/tsbar/tsarea,,,,
Team Overview,Process Flow (Team Level),Sankey,networkD3,,,
Process Overview,process.statusTime,pie,plotly,Overall/Throughput time distribution over statuses,,
Process Overview,process.caseFreq,infobox,,How many cases do we have in this process?,,
Process Overview,process.caseCompleted,infobox,,How many completed cases do we have in this process,,
Process Overview,process.caseLoops,infobox,,How many loops do we have in the process + mean/median/sd per case,,
Status Card,Status to Case Ratio (rework rate),Gauge,,Shows average status frequency per case,--,Status
Status Card,status.process.map,Graph,diagramer/visNetwork,Shows sub-process map in activity level for selected status (user can select between time and frequency),,
Status Card,status.next.pie,Pie,plotly,Next Status Distribution,,
Status Card,status.previous.pie,Pie,plotly,,,
Status Card,status.duration,Guage,plotly,,,
Status Card,status.loopRate,Gauge,,Percentage of entries to each status that follow the same status per entry frequency,,
Status Overview,statuses.duration,box,plotly,"Boxplot showing distribution of duration (min, max, med, mean and quartiles) for each status",,
Time Card,Live tasks Distribution,pie,,Count of live tasks for a given time stamp distributed over activities(task types),,
Activity Card,Activity Processing Time Distribution,Histogram,,,,
Activity Card,Activity Processing/Waiting/suspension/idle/throughput Time Distribution,Histogram,,requires arrival events to be given,,
Time Card,Working Employees,bar,,How many employees are working in each team (percentage),,
Time Card,Live tasks per team,bar,,How many tasks are live in each team?,,
Trace Card,Case Frequency,infobox,,,,
Activity Card,Volin/volout/backlog History,tsline/tsbar/tsarea/calheatmap,,Timeseries showing history of task volume-out for selected activity,,
Trace Card,Flow change over age (percentage and absolute count),Funnel,,A series of funnels one for each age showing process flow ,,
Trace Overview,trace sunburst,Sunburst,sunburstr,,Trace,
Trace Overview,Trace bar,stack bar ?,,Shows all traces as a sequence of activities,,
Trace Overview,Trace Distribution,bubble,bubbles,"Shows frequency of cases distributed on traces in a bubble chart: each bubble is a trace, size reflects frequency of cases following that trace(path or process variation)",,
Transition Card,Case Frequency,infobox,,How many cases had this transition?,,
Activity card,"Processing/Waiting/suspension/idle time series (total/mean/median,…) (Weekly/daily/…)",tsline/tsbar/tsarea/calheatmap,,For example how much was total waiting time for each day,,
Agent Card,"Process/idle time series (total/mean/median,…) (Weekly/daily/…)",tsline/tsbar/tsarea,,,,
Team Card,"Process/Waiting/suspension/idle time series (total/mean/median,…) (Weekly/daily/…)",tsline/tsbar/tsarea,,,,
Activity Card,isolated map,Graph,,"An isolated process map for a given time range showing the selected node in center and all inputs and outputs with counts as labels of edges.
For completed tasks, next arrival shows the output node. For arrived tasks, previous completion determines the input node. A suspend, meeting interval ends is also a node. ",,
Team Card,isolated map,Graph,,"An isolated process map for a given time range showing the selected node in center and all inputs and outputs with counts as labels of edges.
For completed tasks, next arrival shows the output node. For arrived tasks, previous completion determines the input node. A suspend, meeting interval ends is also a node. ",,
Activity Card,hourly arrival/start/completion time distribution for given date,tsline/tsbar/tsarea/calheatmap,,"for a given time range, a time series showing for example volume in (count of arrivals) for each hour",,
